*** Installation started 2013/07/18 11:25 ***
Source: C:\Users\dlu\Downloads\mahotas-1.0.2.win32-py2.7.exe
999 Root Key: HKEY_LOCAL_MACHINE
200 File Copy: D:\Python27\Lib\site-packages\mahotas\surf.py
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tas.py
200 File Copy: D:\Python27\Lib\site-packages\mahotas\texture.py
200 File Copy: D:\Python27\Lib\site-packages\mahotas\thin.py
200 File Copy: D:\Python27\Lib\site-packages\mahotas\thresholding.py
200 File Copy: D:\Python27\Lib\site-packages\mahotas\zernike.py
200 File Copy: D:\Python27\Lib\site-packages\mahotas\_bbox.pyd
200 File Copy: D:\Python27\Lib\site-packages\mahotas\_center_of_mass.pyd
200 File Copy: D:\Python27\Lib\site-packages\mahotas\_convex.pyd
200 File Copy: D:\Python27\Lib\site-packages\mahotas\_convolve.pyd
200 File Copy: D:\Python27\Lib\site-packages\mahotas\_distance.pyd
200 File Copy: D:\Python27\Lib\site-packages\mahotas\_filters.py
200 File Copy: D:\Python27\Lib\site-packages\mahotas\_histogram.pyd
200 File Copy: D:\Python27\Lib\site-packages\mahotas\_interpolate.pyd
200 File Copy: D:\Python27\Lib\site-packages\mahotas\_labeled.pyd
200 File Copy: D:\Python27\Lib\site-packages\mahotas\_morph.pyd
200 File Copy: D:\Python27\Lib\site-packages\mahotas\_thin.pyd
200 File Copy: D:\Python27\Lib\site-packages\mahotas\__init__.py
100 Made Dir: D:\Python27\Lib\site-packages\mahotas\demos
200 File Copy: D:\Python27\Lib\site-packages\mahotas\demos\distance.py
200 File Copy: D:\Python27\Lib\site-packages\mahotas\demos\morphology.py
200 File Copy: D:\Python27\Lib\site-packages\mahotas\demos\nuclear.py
200 File Copy: D:\Python27\Lib\site-packages\mahotas\demos\nuclear_distance_watershed.py
200 File Copy: D:\Python27\Lib\site-packages\mahotas\demos\superpixels.py
200 File Copy: D:\Python27\Lib\site-packages\mahotas\demos\surf_gaussians.py
200 File Copy: D:\Python27\Lib\site-packages\mahotas\demos\surf_luispedro.py
200 File Copy: D:\Python27\Lib\site-packages\mahotas\demos\thresholding.py
200 File Copy: D:\Python27\Lib\site-packages\mahotas\demos\wally.py
200 File Copy: D:\Python27\Lib\site-packages\mahotas\demos\wavelet_compress.py
200 File Copy: D:\Python27\Lib\site-packages\mahotas\demos\__init__.py
100 Made Dir: D:\Python27\Lib\site-packages\mahotas\demos\data
200 File Copy: D:\Python27\Lib\site-packages\mahotas\demos\data\DepartmentStore.jpg
200 File Copy: D:\Python27\Lib\site-packages\mahotas\demos\data\lena.jpg
200 File Copy: D:\Python27\Lib\site-packages\mahotas\demos\data\luispedro.jpg
200 File Copy: D:\Python27\Lib\site-packages\mahotas\demos\data\nuclear.png
100 Made Dir: D:\Python27\Lib\site-packages\mahotas\features
200 File Copy: D:\Python27\Lib\site-packages\mahotas\features\lbp.py
200 File Copy: D:\Python27\Lib\site-packages\mahotas\features\moments.py
200 File Copy: D:\Python27\Lib\site-packages\mahotas\features\shape.py
200 File Copy: D:\Python27\Lib\site-packages\mahotas\features\surf.py
200 File Copy: D:\Python27\Lib\site-packages\mahotas\features\tas.py
200 File Copy: D:\Python27\Lib\site-packages\mahotas\features\texture.py
200 File Copy: D:\Python27\Lib\site-packages\mahotas\features\zernike.py
200 File Copy: D:\Python27\Lib\site-packages\mahotas\features\_lbp.pyd
200 File Copy: D:\Python27\Lib\site-packages\mahotas\features\_surf.pyd
200 File Copy: D:\Python27\Lib\site-packages\mahotas\features\_texture.pyd
200 File Copy: D:\Python27\Lib\site-packages\mahotas\features\_zernike.pyd
200 File Copy: D:\Python27\Lib\site-packages\mahotas\features\__init__.py
100 Made Dir: D:\Python27\Lib\site-packages\mahotas\io
200 File Copy: D:\Python27\Lib\site-packages\mahotas\io\FreeImage.dll
200 File Copy: D:\Python27\Lib\site-packages\mahotas\io\freeimage.py
200 File Copy: D:\Python27\Lib\site-packages\mahotas\io\matplotlibwrap.py
200 File Copy: D:\Python27\Lib\site-packages\mahotas\io\__init__.py
100 Made Dir: D:\Python27\Lib\site-packages\mahotas\tests
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\pymorph_copy.py
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_bbox.py
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_bwperim.py
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_center_of_mass.py
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_citation.py
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_close_holes.py
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_colors.py
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_convolve.py
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_demos.py
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_dilate_erode.py
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_distance.py
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_edge.py
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_euler.py
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_filters.py
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_freeimage.py
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_gvoronoi.py
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_histogram.py
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_hitmiss.py
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_imresize.py
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_internal.py
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_interpolate.py
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_io.py
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_label.py
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_labeled.py
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_lbp.py
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_mahotas.py
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_majority.py
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_median_filter.py
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_moments.py
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_morph.py
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_polygon.py
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_segmentation.py
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_stretch.py
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_surf.py
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_surf_regression.py
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_tas.py
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_template_match.py
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_texture.py
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_thin.py
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_thresholding.py
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_watershed.py
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_zernike.py
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\utils.py
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\__init__.py
100 Made Dir: D:\Python27\Lib\site-packages\mahotas\tests\data
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\data\1bpp.bmp
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\data\determinant_zero.png
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\data\luispedro.npy
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\data\rgba.png
100 Made Dir: D:\Python27\Lib\site-packages\mahotas-1.0.2-py2.7.egg-info
200 File Copy: D:\Python27\Lib\site-packages\mahotas-1.0.2-py2.7.egg-info\dependency_links.txt
200 File Copy: D:\Python27\Lib\site-packages\mahotas-1.0.2-py2.7.egg-info\PKG-INFO
200 File Copy: D:\Python27\Lib\site-packages\mahotas-1.0.2-py2.7.egg-info\requires.txt
200 File Copy: D:\Python27\Lib\site-packages\mahotas-1.0.2-py2.7.egg-info\SOURCES.txt
200 File Copy: D:\Python27\Lib\site-packages\mahotas-1.0.2-py2.7.egg-info\top_level.txt
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\__init__.pyc
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\utils.pyc
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_zernike.pyc
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_watershed.pyc
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_thresholding.pyc
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_thin.pyc
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_texture.pyc
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_template_match.pyc
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_tas.pyc
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_surf_regression.pyc
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_surf.pyc
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_stretch.pyc
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_segmentation.pyc
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_polygon.pyc
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_morph.pyc
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_moments.pyc
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_median_filter.pyc
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_majority.pyc
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_mahotas.pyc
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_lbp.pyc
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_labeled.pyc
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_label.pyc
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_io.pyc
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_interpolate.pyc
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_internal.pyc
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_imresize.pyc
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_hitmiss.pyc
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_histogram.pyc
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_gvoronoi.pyc
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_freeimage.pyc
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_filters.pyc
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_euler.pyc
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_edge.pyc
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_distance.pyc
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_dilate_erode.pyc
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_demos.pyc
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_convolve.pyc
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_colors.pyc
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_close_holes.pyc
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_citation.pyc
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_center_of_mass.pyc
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_bwperim.pyc
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_bbox.pyc
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\pymorph_copy.pyc
200 File Copy: D:\Python27\Lib\site-packages\mahotas\io\__init__.pyc
200 File Copy: D:\Python27\Lib\site-packages\mahotas\io\matplotlibwrap.pyc
200 File Copy: D:\Python27\Lib\site-packages\mahotas\io\freeimage.pyc
200 File Copy: D:\Python27\Lib\site-packages\mahotas\features\__init__.pyc
200 File Copy: D:\Python27\Lib\site-packages\mahotas\features\zernike.pyc
200 File Copy: D:\Python27\Lib\site-packages\mahotas\features\texture.pyc
200 File Copy: D:\Python27\Lib\site-packages\mahotas\features\tas.pyc
200 File Copy: D:\Python27\Lib\site-packages\mahotas\features\surf.pyc
200 File Copy: D:\Python27\Lib\site-packages\mahotas\features\shape.pyc
200 File Copy: D:\Python27\Lib\site-packages\mahotas\features\moments.pyc
200 File Copy: D:\Python27\Lib\site-packages\mahotas\features\lbp.pyc
200 File Copy: D:\Python27\Lib\site-packages\mahotas\demos\__init__.pyc
200 File Copy: D:\Python27\Lib\site-packages\mahotas\demos\wavelet_compress.pyc
200 File Copy: D:\Python27\Lib\site-packages\mahotas\demos\wally.pyc
200 File Copy: D:\Python27\Lib\site-packages\mahotas\demos\thresholding.pyc
200 File Copy: D:\Python27\Lib\site-packages\mahotas\demos\surf_luispedro.pyc
200 File Copy: D:\Python27\Lib\site-packages\mahotas\demos\surf_gaussians.pyc
200 File Copy: D:\Python27\Lib\site-packages\mahotas\demos\superpixels.pyc
200 File Copy: D:\Python27\Lib\site-packages\mahotas\demos\nuclear_distance_watershed.pyc
200 File Copy: D:\Python27\Lib\site-packages\mahotas\demos\nuclear.pyc
200 File Copy: D:\Python27\Lib\site-packages\mahotas\demos\morphology.pyc
200 File Copy: D:\Python27\Lib\site-packages\mahotas\demos\distance.pyc
200 File Copy: D:\Python27\Lib\site-packages\mahotas\__init__.pyc
200 File Copy: D:\Python27\Lib\site-packages\mahotas\_filters.pyc
200 File Copy: D:\Python27\Lib\site-packages\mahotas\zernike.pyc
200 File Copy: D:\Python27\Lib\site-packages\mahotas\thresholding.pyc
200 File Copy: D:\Python27\Lib\site-packages\mahotas\thin.pyc
200 File Copy: D:\Python27\Lib\site-packages\mahotas\texture.pyc
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tas.pyc
200 File Copy: D:\Python27\Lib\site-packages\mahotas\surf.pyc
200 File Copy: D:\Python27\Lib\site-packages\mahotas\stretch.pyc
200 File Copy: D:\Python27\Lib\site-packages\mahotas\segmentation.pyc
200 File Copy: D:\Python27\Lib\site-packages\mahotas\resize.pyc
200 File Copy: D:\Python27\Lib\site-packages\mahotas\polygon.pyc
200 File Copy: D:\Python27\Lib\site-packages\mahotas\morph.pyc
200 File Copy: D:\Python27\Lib\site-packages\mahotas\moments.pyc
200 File Copy: D:\Python27\Lib\site-packages\mahotas\mahotas_version.pyc
200 File Copy: D:\Python27\Lib\site-packages\mahotas\lbp.pyc
200 File Copy: D:\Python27\Lib\site-packages\mahotas\labeled.pyc
200 File Copy: D:\Python27\Lib\site-packages\mahotas\interpolate.pyc
200 File Copy: D:\Python27\Lib\site-packages\mahotas\internal.pyc
200 File Copy: D:\Python27\Lib\site-packages\mahotas\histogram.pyc
200 File Copy: D:\Python27\Lib\site-packages\mahotas\freeimage.pyc
200 File Copy: D:\Python27\Lib\site-packages\mahotas\euler.pyc
200 File Copy: D:\Python27\Lib\site-packages\mahotas\edge.pyc
200 File Copy: D:\Python27\Lib\site-packages\mahotas\distance.pyc
200 File Copy: D:\Python27\Lib\site-packages\mahotas\convolve.pyc
200 File Copy: D:\Python27\Lib\site-packages\mahotas\colors.pyc
200 File Copy: D:\Python27\Lib\site-packages\mahotas\center_of_mass.pyc
200 File Copy: D:\Python27\Lib\site-packages\mahotas\bwperim.pyc
200 File Copy: D:\Python27\Lib\site-packages\mahotas\bbox.pyc
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\__init__.pyo
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\utils.pyo
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_zernike.pyo
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_watershed.pyo
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_thresholding.pyo
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_thin.pyo
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_texture.pyo
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_template_match.pyo
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_tas.pyo
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_surf_regression.pyo
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_surf.pyo
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_stretch.pyo
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_segmentation.pyo
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_polygon.pyo
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_morph.pyo
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_moments.pyo
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_median_filter.pyo
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_majority.pyo
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_mahotas.pyo
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_lbp.pyo
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_labeled.pyo
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_label.pyo
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_io.pyo
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_interpolate.pyo
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_internal.pyo
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_imresize.pyo
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_hitmiss.pyo
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_histogram.pyo
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_gvoronoi.pyo
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_freeimage.pyo
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_filters.pyo
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_euler.pyo
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_edge.pyo
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_distance.pyo
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_dilate_erode.pyo
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_demos.pyo
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_convolve.pyo
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_colors.pyo
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_close_holes.pyo
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_citation.pyo
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_center_of_mass.pyo
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_bwperim.pyo
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\test_bbox.pyo
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tests\pymorph_copy.pyo
200 File Copy: D:\Python27\Lib\site-packages\mahotas\io\__init__.pyo
200 File Copy: D:\Python27\Lib\site-packages\mahotas\io\matplotlibwrap.pyo
200 File Copy: D:\Python27\Lib\site-packages\mahotas\io\freeimage.pyo
200 File Copy: D:\Python27\Lib\site-packages\mahotas\features\__init__.pyo
200 File Copy: D:\Python27\Lib\site-packages\mahotas\features\zernike.pyo
200 File Copy: D:\Python27\Lib\site-packages\mahotas\features\texture.pyo
200 File Copy: D:\Python27\Lib\site-packages\mahotas\features\tas.pyo
200 File Copy: D:\Python27\Lib\site-packages\mahotas\features\surf.pyo
200 File Copy: D:\Python27\Lib\site-packages\mahotas\features\shape.pyo
200 File Copy: D:\Python27\Lib\site-packages\mahotas\features\moments.pyo
200 File Copy: D:\Python27\Lib\site-packages\mahotas\features\lbp.pyo
200 File Copy: D:\Python27\Lib\site-packages\mahotas\demos\__init__.pyo
200 File Copy: D:\Python27\Lib\site-packages\mahotas\demos\wavelet_compress.pyo
200 File Copy: D:\Python27\Lib\site-packages\mahotas\demos\wally.pyo
200 File Copy: D:\Python27\Lib\site-packages\mahotas\demos\thresholding.pyo
200 File Copy: D:\Python27\Lib\site-packages\mahotas\demos\surf_luispedro.pyo
200 File Copy: D:\Python27\Lib\site-packages\mahotas\demos\surf_gaussians.pyo
200 File Copy: D:\Python27\Lib\site-packages\mahotas\demos\superpixels.pyo
200 File Copy: D:\Python27\Lib\site-packages\mahotas\demos\nuclear_distance_watershed.pyo
200 File Copy: D:\Python27\Lib\site-packages\mahotas\demos\nuclear.pyo
200 File Copy: D:\Python27\Lib\site-packages\mahotas\demos\morphology.pyo
200 File Copy: D:\Python27\Lib\site-packages\mahotas\demos\distance.pyo
200 File Copy: D:\Python27\Lib\site-packages\mahotas\__init__.pyo
200 File Copy: D:\Python27\Lib\site-packages\mahotas\_filters.pyo
200 File Copy: D:\Python27\Lib\site-packages\mahotas\zernike.pyo
200 File Copy: D:\Python27\Lib\site-packages\mahotas\thresholding.pyo
200 File Copy: D:\Python27\Lib\site-packages\mahotas\thin.pyo
200 File Copy: D:\Python27\Lib\site-packages\mahotas\texture.pyo
200 File Copy: D:\Python27\Lib\site-packages\mahotas\tas.pyo
200 File Copy: D:\Python27\Lib\site-packages\mahotas\surf.pyo
200 File Copy: D:\Python27\Lib\site-packages\mahotas\stretch.pyo
200 File Copy: D:\Python27\Lib\site-packages\mahotas\segmentation.pyo
200 File Copy: D:\Python27\Lib\site-packages\mahotas\resize.pyo
200 File Copy: D:\Python27\Lib\site-packages\mahotas\polygon.pyo
200 File Copy: D:\Python27\Lib\site-packages\mahotas\morph.pyo
200 File Copy: D:\Python27\Lib\site-packages\mahotas\moments.pyo
200 File Copy: D:\Python27\Lib\site-packages\mahotas\mahotas_version.pyo
200 File Copy: D:\Python27\Lib\site-packages\mahotas\lbp.pyo
200 File Copy: D:\Python27\Lib\site-packages\mahotas\labeled.pyo
200 File Copy: D:\Python27\Lib\site-packages\mahotas\interpolate.pyo
200 File Copy: D:\Python27\Lib\site-packages\mahotas\internal.pyo
200 File Copy: D:\Python27\Lib\site-packages\mahotas\histogram.pyo
200 File Copy: D:\Python27\Lib\site-packages\mahotas\freeimage.pyo
200 File Copy: D:\Python27\Lib\site-packages\mahotas\euler.pyo
200 File Copy: D:\Python27\Lib\site-packages\mahotas\edge.pyo
200 File Copy: D:\Python27\Lib\site-packages\mahotas\distance.pyo
200 File Copy: D:\Python27\Lib\site-packages\mahotas\convolve.pyo
200 File Copy: D:\Python27\Lib\site-packages\mahotas\colors.pyo
200 File Copy: D:\Python27\Lib\site-packages\mahotas\center_of_mass.pyo
200 File Copy: D:\Python27\Lib\site-packages\mahotas\bwperim.pyo
200 File Copy: D:\Python27\Lib\site-packages\mahotas\bbox.pyo
